# x_m, y_m, vx_mps, psi_rad, kappa_radpm
-4.5550894, -1.5431353, 3.3692994, 2.6156127, 0.4094950
-4.6041005, -1.6316069, 3.4132668, 2.6551372, 0.3698150
-4.6483379, -1.7189041, 3.4560281, 2.6893587, 0.3309557
-4.6907927, -1.8099876, 3.4987894, 2.7209544, 0.2990138
-4.7314125, -1.9045492, 3.5415507, 2.7503286, 0.2727569
-4.7675926, -1.9955697, 3.5823931, 2.7757407, 0.2467063
-4.8020690, -2.0888668, 3.6231749, 2.7991361, 0.2243653
-4.8349422, -2.1843853, 3.6639568, 2.8208097, 0.2052786
-4.8658377, -2.2806049, 3.7041349, 2.8407077, 0.1884797
-4.8943381, -2.3754822, 3.7428947, 2.8585858, 0.1728139
-4.9214449, -2.4716996, 3.7816545, 2.8751563, 0.1590250
-4.9471966, -2.5690349, 3.8204143, 2.8905418, 0.1468528
-4.9714425, -2.6664796, 3.8581904, 2.9047246, 0.1354765
-4.9942325, -2.7636852, 3.8948269, 2.9176940, 0.1244856
-5.0158557, -2.8613708, 3.9314634, 2.9296363, 0.1143783
-5.0363702, -2.9593519, 3.9680999, 2.9406123, 0.1050224
-5.0558981, -3.0577752, 4.0034897, 2.9506881, 0.0956063
-5.0744842, -3.1564001, 4.0379032, 2.9598019, 0.0860637
-5.0921524, -3.2548103, 4.0723166, 2.9679424, 0.0768043
-5.1089794, -3.3528487, 4.1067300, 2.9751301, 0.0677258
-5.1253391, -3.4521891, 4.1396242, 2.9814386, 0.0571370
-5.1411337, -3.5516623, 4.1718086, 2.9866192, 0.0456794
-5.1563231, -3.6502361, 4.2039929, 2.9905928, 0.0339160
-5.1710119, -3.7477391, 4.2361773, 2.9933389, 0.0216617
-5.1858389, -3.8477164, 4.2662691, 2.9953578, 0.0192024
-5.2003550, -3.9469175, 4.2961456, 2.9972011, 0.0175220
-5.2145599, -4.0451892, 4.3260221, 2.9988469, 0.0155843
-5.2285889, -4.1433185, 4.3549723, 3.0003486, 0.0178206
-5.2425628, -4.2423840, 4.3815982, 3.0027937, 0.0310600
-5.2561986, -4.3412699, 4.4082241, 3.0065479, 0.0440993
-5.2694067, -4.4402705, 4.4348500, 3.0115831, 0.0566077
-5.2820310, -4.5390958, 4.4585321, 3.0175560, 0.0613784
-5.2940706, -4.6381625, 4.4811506, 3.0237914, 0.0635971
-5.3055172, -4.7376262, 4.5037691, 3.0302734, 0.0659002
-5.3163188, -4.8372727, 4.5257670, 3.0369998, 0.0685702
-5.3263706, -4.9363482, 4.5444272, 3.0440329, 0.0726421
-5.3357323, -5.0357888, 4.5630874, 3.0514829, 0.0764965
-5.3443630, -5.1356488, 4.5817476, 3.0593339, 0.0801153
-5.3521647, -5.2352059, 4.5982958, 3.0674942, 0.0831194
