# x_m, y_m, vx_mps, psi_rad, kappa_radpm
-1.5516633, -0.0508227, 4.8071279, 1.3625932, 0.4938066
-1.6511270, -0.0323959, 4.8193546, 1.4126972, 0.4976779
-1.7497607, -0.0191522, 4.8284875, 1.4617853, 0.4887137
-1.8493410, -0.0106994, 4.8410134, 1.5103731, 0.4844946
-1.9495444, -0.0070773, 4.8543240, 1.5589801, 0.4858618
-2.0498007, -0.0083339, 4.8656527, 1.6075404, 0.4791066
-2.1497350, -0.0143940, 4.8791355, 1.6550436, 0.4705288
-2.2489872, -0.0251202, 4.8954654, 1.7017901, 0.4667099
-2.3478518, -0.0405003, 4.9120751, 1.7484137, 0.4631841
-2.4463266, -0.0605395, 4.9288123, 1.7945584, 0.4554357
-2.5430544, -0.0848650, 4.9477543, 1.8396922, 0.4499072
-2.6382927, -0.1134100, 4.9676329, 1.8842459, 0.4458077
-2.7336049, -0.1466788, 4.9876823, 1.9288863, 0.4388458
-2.8263240, -0.1837023, 5.0093318, 1.9724484, 0.4341391
-2.9164440, -0.2242788, 5.0313474, 2.0152321, 0.4316711
-3.0071003, -0.2698982, 5.0526048, 2.0586703, 0.4246052
-3.0943193, -0.3185693, 5.0755032, 2.1008206, 0.4197401
-3.1782474, -0.3701008, 5.0988251, 2.1420282, 0.4170946
-3.2627644, -0.4269775, 5.1214395, 2.1841338, 0.4096249
-3.3430472, -0.4859610, 5.1458876, 2.2246247, 0.4034457
-3.4203793, -0.5476957, 5.1713953, 2.2642957, 0.3976821
-3.4972485, -0.6142441, 5.1977000, 2.3042522, 0.3881370
-3.5692744, -0.6816730, 5.2267296, 2.3420716, 0.3783947
-3.6400392, -0.7531015, 5.2584255, 2.3792946, 0.3575727
-3.7079798, -0.8267759, 5.2984258, 2.4134281, 0.3216686
-3.7723335, -0.9011837, 5.3541455, 2.4427813, 0.2669623
-3.8365468, -0.9794646, 5.4346776, 2.4646115, 0.1597929
-3.8975305, -1.0562565, 5.5312783, 2.4741372, 0.0302458
-3.9592756, -1.1345983, 5.6262206, 2.4726362, -0.0593805
-4.0215214, -1.2126287, 5.7195872, 2.4625046, -0.1404405
-4.0823770, -1.2871523, 5.8114539, 2.4535111, -0.0154852
-4.1461107, -1.3649308, 5.9018909, 2.4588533, 0.1113075
-4.2080044, -1.4421123, 5.9909628, 2.4736473, 0.1812787
-4.2674081, -1.5189043, 6.0787297, 2.4933469, 0.2208750
-4.3294229, -1.6028535, 6.1415106, 2.5177664, 0.2445823
-4.3858285, -1.6832550, 6.1864980, 2.5416767, 0.2349174
-4.4401703, -1.7646467, 6.2349165, 2.5638921, 0.2201267
-4.4951499, -1.8510647, 6.2898563, 2.5858908, 0.2101912
-4.5482396, -1.9386234, 6.3481249, 2.6070223, 0.2008063
-4.5970005, -2.0228049, 6.4093480, 2.6259494, 0.1889983
-4.6454682, -2.1102003, 6.4750597, 2.6443930, 0.1806634
-4.6934228, -2.2005261, 6.5430051, 2.6625659, 0.1751906
-4.7390455, -2.2902777, 6.6113784, 2.6799404, 0.1684608
-4.7823695, -2.3791787, 6.6810952, 2.6961982, 0.1607279
-4.8247729, -2.4698478, 6.7528905, 2.7119909, 0.1551759
-4.8661312, -2.5620066, 6.8253679, 2.7274679, 0.1515674
-4.9059701, -2.6545448, 6.8973067, 2.7426050, 0.1484757
-4.9441214, -2.7469302, 6.9684664, 2.7572729, 0.1452537
-4.9809756, -2.8399871, 7.0390481, 2.7717073, 0.1433985
-5.0164577, -2.9334785, 7.1082024, 2.7860098, 0.1428739
-5.0506629, -3.0276462, 7.1751057, 2.8003480, 0.1432746
-5.0837828, -3.1230911, 7.2392218, 2.8148367, 0.1437261
-5.1152861, -3.2183063, 7.3006388, 2.8293193, 0.1452711
-5.1451282, -3.3130910, 7.2727290, 2.8438796, 0.1479800
-5.1735219, -3.4081315, 7.2163593, 2.8587455, 0.1519639
-5.2012431, -3.5063799, 7.1617232, 2.8745204, 0.1573332
-5.2269850, -3.6035136, 7.1099040, 2.8906606, 0.1641896
-5.2507083, -3.6993364, 7.0621861, 2.9072756, 0.1727640
-5.2728197, -3.7956767, 7.0223409, 2.9249109, 0.1864040
-5.2937020, -3.8951909, 6.9962372, 2.9449537, 0.2077567
-5.3121463, -3.9932430, 6.9835904, 2.9666983, 0.2279129
-5.3281258, -4.0901689, 6.9835904, 2.9899964, 0.2460502
-5.3419339, -4.1887071, 6.9835904, 3.0146649, 0.2432948
-5.3534006, -4.2879562, 6.9855132, 3.0381981, 0.2269280
-5.3625973, -4.3871832, 6.9987554, 3.0598003, 0.2059161
-5.3697602, -4.4865984, 7.0260280, 3.0791190, 0.1808463
-5.3751160, -4.5857707, 7.0695953, 3.0957051, 0.1533458
